city,temperature,timestamp
Tokyo,-7.7,2025-07-24T13:58:33.437462
New York,3.8,2024-09-03T13:58:33.437489
Sydney,21.3,2025-03-06T13:58:33.437499
Paris,26.6,2024-10-11T13:58:33.437505
London,13.5,2024-08-06T13:58:33.437510
London,-1.9,2024-11-01T13:58:33.437514
Paris,23.9,2025-01-28T13:58:33.437518
Tokyo,9.5,2025-02-09T13:58:33.437522
Sydney,5.8,2024-10-25T13:58:33.437526
Paris,-1.0,2025-02-06T13:58:33.437530
Tokyo,4.8,2025-05-06T13:58:33.437534
Paris,14.9,2025-05-30T13:58:33.437537
Tokyo,2.5,2025-06-10T13:58:33.437541
New York,-2.1,2024-08-20T13:58:33.437545
Sydney,8.1,2025-06-28T13:58:33.437548
London,-2.2,2025-01-29T13:58:33.437552
Sydney,18.7,2025-03-25T13:58:33.437555
New York,8.0,2024-08-25T13:58:33.437559
Tokyo,12.9,2025-06-22T13:58:33.437563
New York,-2.8,2025-03-29T13:58:33.437567
Paris,18.7,2024-11-09T13:58:33.437570
Tokyo,-6.7,2025-01-25T13:58:33.437574
Sydney,6.9,2024-11-14T13:58:33.437577
Tokyo,26.6,2024-11-26T13:58:33.437581
Tokyo,27.4,2025-02-13T13:58:33.437587
New York,0.3,2025-03-15T13:58:33.437590
Sydney,17.8,2025-04-18T13:58:33.437595
London,-7.0,2025-05-16T13:58:33.437598
New York,10.9,2024-08-15T13:58:33.437602
London,11.0,2025-05-01T13:58:33.437605
Tokyo,19.6,2024-11-14T13:58:33.437609
Paris,2.1,2025-02-10T13:58:33.437612
Paris,17.6,2025-07-22T13:58:33.437616
Tokyo,-7.0,2024-12-05T13:58:33.437619
London,-8.1,2024-09-10T13:58:33.437623
New York,7.0,2025-01-03T13:58:33.437626
London,23.2,2024-08-19T13:58:33.437630
New York,33.3,2025-03-06T13:58:33.437633
New York,17.7,2024-11-23T13:58:33.437637
New York,31.6,2025-01-08T13:58:33.437640
Sydney,-0.6,2025-02-19T13:58:33.437646
Sydney,-5.1,2024-10-20T13:58:33.437650
Sydney,22.9,2025-03-14T13:58:33.437654
London,34.0,2024-12-08T13:58:33.437657
London,29.0,2025-03-29T13:58:33.437661
Sydney,30.9,2025-07-03T13:58:33.437664
Tokyo,0.3,2024-08-03T13:58:33.437668
Tokyo,14.3,2025-02-13T13:58:33.437671
London,28.1,2025-04-05T13:58:33.437675
New York,3.2,2025-04-12T13:58:33.437678
Paris,19.6,2024-12-11T13:58:33.437682
Paris,-5.7,2025-04-24T13:58:33.437685
Paris,4.8,2024-08-10T13:58:33.437689
Tokyo,-0.5,2025-02-20T13:58:33.437693
London,-1.4,2024-10-25T13:58:33.437697
Tokyo,22.7,2025-07-11T13:58:33.437700
Sydney,17.4,2024-08-08T13:58:33.437704
Tokyo,-6.5,2025-04-26T13:58:33.437707
Sydney,18.0,2024-12-21T13:58:33.437711
Sydney,31.5,2025-03-17T13:58:33.437715
Sydney,28.2,2024-09-16T13:58:33.437718
London,10.4,2024-11-07T13:58:33.437722
Tokyo,-6.9,2024-07-27T13:58:33.437725
Tokyo,8.5,2025-02-28T13:58:33.437729
Sydney,8.2,2025-04-22T13:58:33.437733
New York,-8.4,2025-03-29T13:58:33.437736
Tokyo,18.2,2024-12-21T13:58:33.437740
New York,17.1,2025-02-05T13:58:33.437743
New York,8.3,2025-03-08T13:58:33.437746
Paris,13.7,2025-06-13T13:58:33.437750
New York,-6.7,2024-11-05T13:58:33.437753
Sydney,17.2,2025-04-03T13:58:33.437757
Sydney,22.9,2024-08-10T13:58:33.437760
New York,28.8,2024-12-20T13:58:33.437764
Sydney,27.3,2025-06-03T13:58:33.437767
Paris,33.9,2024-10-24T13:58:33.437771
Sydney,1.8,2025-04-09T13:58:33.437775
Paris,8.9,2025-02-17T13:58:33.437779
Sydney,6.3,2025-02-22T13:58:33.437782
New York,4.0,2025-07-06T13:58:33.437785
